Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 20:45:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 20:46:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 20:47:00,1.276960,1.276960,1.276960,1.276960,0.000000
2019-01-07 20:48:00,1.277107,1.277107,1.277107,1.277107,0.000000
2019-01-07 20:49:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 20:50:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 20:51:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 20:52:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 20:54:00,1.277172,1.277172,1.277172,1.277172,0.000000
2019-01-07 20:55:00,1.276992,1.276992,1.276992,1.276992,0.000000
2019-01-07 20:57:00,1.276862,1.276862,1.276862,1.276862,0.000000
2019-01-07 20:59:00,1.276878,1.276878,1.276878,1.276878,0.000000
2019-01-07 21:00:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 21:02:00,1.276780,1.276780,1.276780,1.276780,0.000000
2019-01-07 21:04:00,1.276683,1.276764,1.276683,1.276764,0.000000
2019-01-07 21:07:00,1.276780,1.276829,1.276780,1.276829,0.000000
2019-01-07 21:10:00,1.276715,1.276715,1.276715,1.276715,0.000000
2019-01-07 21:12:00,1.276585,1.276585,1.276585,1.276585,0.000000
2019-01-07 21:14:00,1.277123,1.277123,1.277058,1.277058,0.000000
2019-01-07 21:17:00,1.277074,1.277074,1.277074,1.277074,0.000000
2019-01-07 21:18:00,1.277074,1.277074,1.277074,1.277074,0.000000
2019-01-07 21:19:00,1.277074,1.277074,1.277074,1.277074,0.000000
2019-01-07 21:20:00,1.277090,1.277090,1.277090,1.277090,0.000000
2019-01-07 21:22:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 21:24:00,1.277090,1.277172,1.277090,1.277172,0.000000
2019-01-07 21:27:00,1.277107,1.277107,1.277107,1.277107,0.000000
2019-01-07 21:29:00,1.277156,1.277156,1.277156,1.277156,0.000000
2019-01-07 21:30:00,1.277319,1.277319,1.277319,1.277319,0.000000
2019-01-07 21:32:00,1.277270,1.277270,1.277270,1.277270,0.000000
2019-01-07 21:34:00,1.277221,1.277221,1.277221,1.277221,0.000000
2019-01-07 21:35:00,1.277253,1.277253,1.277253,1.277253,0.000000
2019-01-07 21:37:00,1.277253,1.277253,1.277253,1.277253,0.000000
2019-01-07 21:38:00,1.277253,1.277253,1.277253,1.277253,0.000000
2019-01-07 21:40:00,1.277351,1.277351,1.277351,1.277351,0.000000
2019-01-07 21:42:00,1.277270,1.277270,1.277270,1.277270,0.000000
2019-01-07 21:44:00,1.277090,1.277090,1.277090,1.277090,0.000000
2019-01-07 21:45:00,1.277156,1.277156,1.277156,1.277156,0.000000
2019-01-07 21:47:00,1.276927,1.276927,1.276927,1.276927,0.000000
2019-01-07 21:49:00,1.276976,1.276976,1.276960,1.276960,0.000000
2019-01-07 21:52:00,1.277009,1.277009,1.277009,1.277009,0.000000
2019-01-07 21:54:00,1.277009,1.277009,1.277009,1.277009,0.000000
2019-01-07 21:55:00,1.277107,1.277107,1.277107,1.277107,0.000000
2019-01-07 21:57:00,1.277172,1.277172,1.277172,1.277172,0.000000
2019-01-07 21:59:00,1.277531,1.277531,1.277531,1.277531,0.000000
2019-01-07 22:00:00,1.277792,1.277792,1.277792,1.277792,0.000000
2019-01-07 22:02:00,1.278200,1.278200,1.278200,1.278200,0.000000
2019-01-07 22:04:00,1.277792,1.277792,1.277792,1.277792,0.000000
2019-01-07 22:05:00,1.277759,1.277759,1.277759,1.277759,0.000000
2019-01-07 22:07:00,1.277923,1.277923,1.277923,1.277923,0.000000
2019-01-07 22:09:00,1.278004,1.278004,1.277955,1.277955,0.000000
2019-01-07 22:12:00,1.278037,1.278037,1.278037,1.278037,0.000000
2019-01-07 22:14:00,1.278135,1.278135,1.278004,1.278004,0.000000
2019-01-07 22:17:00,1.278037,1.278037,1.278037,1.278037,0.000000
2019-01-07 22:18:00,1.278053,1.278053,1.278053,1.278053,0.000000
2019-01-07 22:19:00,1.277988,1.277988,1.277988,1.277988,0.000000
2019-01-07 22:20:00,1.278184,1.278184,1.278184,1.278184,0.000000
2019-01-07 22:22:00,1.278723,1.278723,1.278723,1.278723,0.000000
2019-01-07 22:24:00,1.278543,1.278543,1.278543,1.278543,0.000000
2019-01-07 22:25:00,1.278511,1.278511,1.278511,1.278511,0.000000
2019-01-07 22:26:00,1.278494,1.278494,1.278494,1.278494,0.000000
2019-01-07 22:28:00,1.278364,1.278364,1.278364,1.278364,0.000000
2019-01-07 22:30:00,1.278331,1.278331,1.278331,1.278331,0.000000
2019-01-07 22:31:00,1.278674,1.278674,1.278674,1.278674,0.000000
2019-01-07 22:33:00,1.278527,1.278527,1.278527,1.278527,0.000000
2019-01-07 22:34:00,1.278560,1.278560,1.278560,1.278560,0.000000
2019-01-07 22:35:00,1.278527,1.278527,1.278527,1.278527,0.000000
